Name,Address,Phone,Accepting New Patients,Accepts Out of Area Registrations,Online Registration Available,Latitude,Longitude
Clapham Park Group Practice,"72 Clarence Avenue, London, Greater London, SW4 8JP",02086785420,True,False,False,51.450191,-0.136505
Thurleigh Road Practice,"88A Thurleigh Road, Balham, London, Greater London, SW12 8TT",02086753521,True,False,False,51.45246265,-0.1561775501699344
Open Door Surgery,"47 Boundaries Road, Balham, London, Greater London, SW12 8EU",02086731476,True,True,False,51.4428501,-0.1565452
BEDFORD HILL FAMILY PRACTICE,"120-124 Bedford Hill, Balham, London, Greater London, SW12 9HS",02086731720,True,False,False,51.4402194,-0.1483205
Balham Health Centre,"120 Bedford Hill, Balham, London, SW12 9HS",02086738268,True,False,False,51.44079275,-0.1490615755818729
Grafton Square Surgery,"8B Grafton Square, London, Greater London, SW4 0DE",02076225642,True,True,False,51.46473,-0.1398881
Edith Cavell Practice,"41A-41C Streatham Hill, London, Greater London, SW2 4TP",02070627870,True,True,False,51.4409707,-0.1250498
Clapham Family Practice,"Mary Seacole Centre, 89 Clapham High Street, London, Greater London, SW4 7DB",02034746070,True,True,False,,
Hetherington Group Practice,"18 Hetherington Road, London, Greater London, SW4 7NU",02072744220,True,True,False,51.4605324,-0.127935
Bolingbroke Medical Centre,"Wakehurst Road, Battersea, London, Greater London, SW11 6BF",02078011460,True,True,False,51.4579203,-0.1618611
Dr Curran & Partners,"The Clapham Manor Health Centre, 86 Clapham Manor Street, London, SW4 6EB",02074116866,True,True,False,,
Sandmere Practice,"10-14 Sandmere Road, Clapham, London, Greater London, SW4 7QJ",02072746366,True,True,False,51.4624512,-0.1273996
Streatham High Practice,"2-8 Gracefield Gardens, Streatham, London, Greater London, SW16 2ST",020 7062 7860,True,True,False,51.432516250000006,-0.1279029381295054
Wandsworth Medical Centre,"90-92 Garratt Lane, Wandsworth, London, Greater London, SW18 4DD",02030062741,True,True,False,51.4536675,-0.1921071
TOOTING SOUTH MEDICAL CENTRE,"22 Otterburn Street, Tooting, London, Greater London, SW17 9HQ",02086820521,True,False,False,51.4218533,-0.16133
Akerman Medical Practice,"Akerman Health Centre, 60 Patmos Road, London, Greater London, SW9 6AF",02035820000,True,True,False,,
Central Medical Centre,"42-46 Central Road, Morden, Surrey, SM4 5RT",02086489126,True,True,False,,
Kings College Health Centre (KCL students and staff only),"3Rd Floor, Bush House, South East Wing, 300 Strand, London, WC2B 4PJ",02045489842,True,True,False,,
Nightingale Practice,"105 Nightingale Lane, Balham, London, Greater London, SW12 8NB",02087722361,False,False,False,51.4489849,-0.159712630859974
Streatham Place Surgery,"26-28 Streatham Place, London, SW2 4QY",,False,False,False,51.4462355,-0.1267624
Balham Park Surgery,"236 Balham High Road, London, Greater London, SW17 7AW",02087728772,True,False,False,51.4397721,-0.1557559
Brixton Hill Group Practice,"Surgery, 22 Raleigh Gardens, Brixton, London, Greater London, SW2 1AE",02086746376,True,True,False,,
