GPName,AverageRating
Clapham Park Group Practice,5.0
Open Door Surgery,2.0
BEDFORD HILL FAMILY PRACTICE,3.111111111111111
Balham Health Centre,5.0
Grafton Square Surgery,5.0
Dr Curran & Partners,3.6666666666666665
Wandsworth Medical Centre,1.8
TOOTING SOUTH MEDICAL CENTRE,4.666666666666667
Akerman Medical Practice,3.75
Central Medical Centre,4.3
Balham Park Surgery,3.888888888888889
Battersea Rise Group Practice,5.0
Palace Road Surgery,4.6
Lavender Hill Group Practice,4.333333333333333
The Exchange Surgery,3.0
Prentis Medical Centre,5.0
HETHERINGTON AT THE PAVILION,5.0
Junction Health Centre,3.0
Springfield Medical Centre,3.2
Upper Tooting Road Medical Centre,2.6
St Johns Hill Surgery,1.0
Beckett House Practice,4.2
The Grantham Centre Practice,4.4
