GPName,ReviewText
Clapham Park Group Practice,"Everyone I have ever dealt with at Clapham Park GP has been kind and approachable, from the reception team to the GP’s themselves"
Clapham Park Group Practice,"I recently saw one of the nurses in the practice on an emergency basis.  She has been absolutely fantastic, arranging further appointments, providing me with written guidance on what I need to do, comforting me when I was struggling.  She has the most fantastic way about her, she is sympathetic, caring and extremely kind.  I really can’t thank her enough."
Open Door Surgery,"You previously used to be able to phone and book an appointment easily, and availability was often good. It would take a couple of minutes to book the appointment, and at most, you had to put aside an hour from your day to attend.
They've now introduced a system whereby you're sent a text message  directing you to an online form, once this has been filled out, you have to wait to receive call back. When I tried to use it, I never received a call back. This means that I couldn't make or receive calls, or join meetings at work, as taking the call to get an appointment was my priority. It also means that you can't make any plans, because you don't know whether you'll be offered an appointment at 2pm, or 3pm, or tomorrow. This system is completely inconsiderate of people who have jobs that mean they can't spend all day waiting for a call, or people who have difficulty with technology. It's in no way an improvement over making an appointment over the phone in two minutes."
Open Door Surgery,"The doctors and staff at Open Door surgery are great. Very committed, detailed oriented and caring and provide good patient care. 

However, recently they have moved to a no appointment system which means it is impossible to plan how long it will take to be seen. Appreciate that such may work better for them. However, does not consider that patients need to schedule doctor visits among work and other commitments. Making it impossible to plan. I have had to wait over an hour on more that one occasion and at times just had to give up waiting. 

Hence, a better system that puts patients first needs to be considered."
BEDFORD HILL FAMILY PRACTICE,"I was contacted by the GP to make a non-urgent appointment and used the E consult service to book. I was given a face to face appointment very quickly and the doctor was extremely helpful.
My whole family has always received excellent care at this practice and we all feel very spoiled and grateful"
BEDFORD HILL FAMILY PRACTICE,"Very efficient visit, on time and easy to navigate. Well looked after and answered all questions leaving feeling well looked after"
BEDFORD HILL FAMILY PRACTICE,I was able to arrange a F2F appointment within a fortnight / The appointment was on time / A way forward was agreed.
BEDFORD HILL FAMILY PRACTICE,"I called up at 8am to book a GP appointment for my 5- year old son. Asked for a face to face and was given a 10am slot. No issues with this.

I arrived with my son at 9.45 and registered. Sat waiting. At 10.45 I asked why the delay and the receptionist confirmed I was confirmed and should be soon. 11.15 (90 mins after arriving) I was told that the appointment would be by telephone and not face to face. I asked if I could be squeezed in but was given a blunt No.
Then was told I would be called by 6pm. I saw how some of the people there (some elderly) were spoken to and treated. Shocking.

This is my 3rd visit where it gets worse. I will be moving to another practice. Awful Practice."
BEDFORD HILL FAMILY PRACTICE,"The GPs at this practice are generally good, but are badly let down by extremely poor communication via the administrators. One example of this is that I was told twice last week that I needed a GP consultation to change the formulation of a medicine I regularly take, only to discover today that my request had actually been processed already and a prescription had been waiting at the pharmacy for me for a week. I have been in desperate need of this medicine. No one thought it necessary to tell me that this had been done, despite having been in correspondence on this matter all week. This is just one in a list of examples of similarly poor communication from this practice. For this reason I cannot recommend Bedford Hill Family Practice to new patients."
BEDFORD HILL FAMILY PRACTICE,I contacted the GP via the link to an on line form on which I described my symptoms. A GP rang me and arranged a face to face appointment that morning.  I was reassured to be seen so promptly. I was suffering from a persistent high temperature headache and rash.
BEDFORD HILL FAMILY PRACTICE,"This has been my gp practice for 30 years and all the staff and doctors have been absolutely fantastic to me and my family. They are helpful, they listen and the receptionists are always ready to listen and organise appointments immediately with the doctors who have been so wonderful to us all.  I feel extremely lucky to be a patient of this practice. Thank you to all the staff for doing a great job. It is so appreciated."
BEDFORD HILL FAMILY PRACTICE,I have personally felt let down by the practise each time I come into contact with them which is a shame as one of the nurses there is absolutely amazing. First it was loosing my bloods and having to come in twice for blood tests which prolonged my diagnosis and then I was left frustrated with having telephone consultations with one Dr to be told by another Dr at the same practise that I should never have had a telephone consultation as I really needed to be seen to diagnosed. The wait list for appointments whenever I’ve called as been 3 weeks + and if you need a same day appointment you may as well skip and call 111 instead as the practise are full by 08:01 though I’ve had occasions even when 111 have arranged an ‘emergency call’ I have not received any call backs. This has happened  to me twice. Perhaps I’ve had bad luck and bad timing with extremely busy times I’ve been in contact them with but I feel like everything is much harder than it needs to be. I’m in the process of moving surgeries and for the first time in my life it’s because of the surgery and not because of a house move. I come from a family of NHS staff and understand the pressures but it’s my health that has been affected.
BEDFORD HILL FAMILY PRACTICE,"Today I waited 1 hour and 49 minutes for a receptionist to answer the phone. Was 1st in the queue for about 35 minutes. The receptionist answered and was very abrupt and clearly wanted to get me off the phone as soon as they could. They provided information about me without confirming my details which is a clear data protection breach. I truly understand the stress in primary care due to my profession but this level of service is far below the minimum and is clear that the operation management team at this practice have neglected reception and do not support them in being able to help patients. I have been registered at the surgery for 25 years and have seen how the surgery has not aligned with the increased number of patients registered with the surgery. I really hope this feedback is taken into consideration.
Thanks"
Balham Health Centre,"I was referred to the centre for a blood test that needed to be done quickly.  I arrived thinking my appointment was at 09.45, but I was wrong: my letter clearly showed it to be for 09.15.  The receptionist was very kind and understanding, and sorted my test for me there and then.  Thank you!"
Grafton Square Surgery,"As someone who finds going to the doctor quite nerve-wracking, my first experience at Grafton Square has really restored my confidence. I felt the drive to understand my problem and the drive to fix it in a way that was convenient to me. I left feeling heard and like my problem was taken seriously, and I felt positive about finding a cause and treatment."
Grafton Square Surgery,This practice is excellent in after care   My husband has has such great treatment from this practice since being discharged from hospital. He is difficult chap but the staff understand his frustration and have also offered me support as his career. Can't fault them and appreciate the care.
Dr Curran & Partners,After waiting a month for a telephone consultation for my children ( was told I had to have a telephone consultation when I asked for an on-person app) the receptionist booked it informing me I would br called in the am. Today I was called at 7:03 am. This call I missed (getting my children ready for the school run). The very helpful Dr. left a voicemail stating a number I should call back. This was the surgery contact number which is not answered until after 8 am. I suspect my children are suffering with mould sickness and I have found worrying lumps on my child’s neck which I would like clinical advise on. This is now way to run a health service.
Dr Curran & Partners,"Friendly, able to get an appointment if you call. GPS are thorough, kind, and caring. They make the time despite all the pressures and increase caseload."
Dr Curran & Partners,"As always the receptionists were efficient, helpful and considerate. Despite the pressures of work they remain cheerful and good humoured. The practice nurse was thoughtful and understanding. My GP, whom I have known for many years, is outstanding in her professionalism and the care she gives me."
Dr Curran & Partners,"Excellent service from Dr Curran and partners today-from my call being answered promptly by very helpful friendly reception staff, to a GP call back within half an hour followed by an urgent appt a couple of hours later. The reception staff I then saw were helpful and friendly and the GP absolutely brilliant with my 3 year old. Thank you!"
Dr Curran & Partners,"I recently joined the practice and I am very happy that I did. Receptionists are friendly and answered my questions efficiently.
I saw 2 nurses, each one provided painless procedures and were friendly. And I saw 2 doctors. There was no rush, my concerns were addressed, callback was prompt, informative and punctual.
I find waiting rooms also important, this one has ample seating, is clean and quiet, and I love the blood pressure/weight/height device (even though I am smaller than I thought)."
Dr Curran & Partners,"The nurses at this surgery are fantastic, I had a smear test / cervical screening with a nurse who made the whole thing very easy and stress free after I told her I was a little anxious.

However, understanding of unseen disabilities is poor. Last week I spoke to a receptionist who had received no training on Accessibility requirements (which are a legal obligation). I had previously had a note on my patient record added to access and communication requirements stating I require email correspondence due to my disability which affects my memory and verbal processing. Despite this I was phoned today by a receptionist and when I stated that this is an inaccessible way to contact me she said she didn’t know what accessibility is and that speaking on the phone is “easier for her”. The interaction was humiliating and conflicted with the reassurance past receptionists had given me that their colleagues would understand the accessibility needs recorded on my patient record. It upset me on a huge number of levels and scared me for any patients with learning disabilities, learning difficulties, mental health conditions, Alzheimer’s, hearing loss, etc.  Despite everything I got an email later that day saying she’d booked me a telephone appt."
Wandsworth Medical Centre,"Completed online form for medication, only 1 was prescribed. Phoned the surgery receptionist said she would bring this to doctors attention and doctor will contact me or send prescription to pharmacy. Check with pharmacy no prescription received. Phoned surgery spoke to another receptionist who repeated the rhetoric of the previous receptionist, and I'm still waiting.  This practice  has changed immensely in years  gone by it was possible to see a gp without  having to complete a longwinded form, personal experience  suggests this system is not an improvement in how things used to be.  Is it not common courtesy for someone to get back to you when you are told that they will? Would it not be advisable for someone to explain why you have not been prescribed the painkillers you requested several days ago? What would WMC suggest patients in need of painkillers do if they have requested them and followed it up with not 1 but 2 phone calls enquiring about them only to still be left waiting?  Clearly something going on here, however they appear to have forgotten to relay this to me the patient."
Wandsworth Medical Centre,"I saw someone left a complaint about problems accessing the contraceptive pill at this surgery - and I have too! I’ve been repeat prescribing the pill for about 2 years and didn’t have a problem when it was done with paper, always got my pills within about 2 working days. However, over 2 weeks ago I put in a request online, the GP didn’t receive anything. Tried again on the online form - still nothing! After going into the surgery they’ve now sent me something direct to fill in, which I’m hoping (nearly 3 weeks later) will mean I get the pills. If not, I’m about to have to buy them online which isn’t ideal but I’m about to run out. It’s really really poor to be unable to have access to easy contraception - there is clearly a fault with your online contraceptive pill form. Please fix it ASAP."
