Name,Address,Phone,Accepting_New_Patients,Accepts_Out_of_Area_Registrations,Online_Registration_Available,Average_Rating
The Lilyville Surgery,"Parsons Green Health Cent, 5-7 Parsons Green, London, Greater London, SW6 4UL",02077364344,1,1,0,5.0
Ashville Surgery,"Swan House, Parsons Green Lane, Fulham, London, Greater London, SW6 4HS",02073717171,1,1,0,3.1
"The Surgery, Dr Mangwana & Partners","510 Fulham Palace Road, Fulham, London, Greater London, SW6 6JD",02077366305,1,0,0,
Cassidy Road Medical Centre,"651A Fulham Road, Fulham, London, Greater London, SW6 5PX",02073844850,1,1,0,3.8
Sands End Health Clinic,"Bridge House Centre For Health, 1 Broughton Approach Road, Fulham, London, Greater London, SW6 2FE",02030115745,1,0,0,
"The Medical Centre, Dr Jefferies & Partn","292 Munster Road, Fulham, London, Greater London, SW6 6BQ",02073851965,1,0,0,1.1666666666666667
The Fulham Medical Centre,"446 Fulham Road, Fulham, London, Greater London, SW6 1BG",02073856001,1,1,0,
Fulham Cross Medical Centre,"322 Lillie Road, Fulham, London, Greater London, SW6 7PP",020 7385 1964,1,0,0,
GP at hand,"139 Lillie Road, Fulham, London, Greater London, SW6 7SX",03303038000,1,0,0,1.0
Kings Road Medical Centre,"529 Kings Road, Chelsea, London, Greater London, SW10 0UD",02073529568,1,1,0,1.5
Earls Court Surgery,"269 Old Brompton Road, Earls Court, London, Greater London, SW5 9JA",02073702643,1,1,0,
Earls Court Medical Centre,"248 Earls Court Road, London, Greater London, SW5 9AD",02078351455,1,1,0,1.0
Belgrave Medical Centre,"The Surgery, 13 Pimlico Road, London, Greater London, SW1W 8NA",02077307030,0,0,0,2.8
Open Door Surgery,"47 Boundaries Road, Balham, London, Greater London, SW12 8EU",02086731476,1,1,0,2.0
"The Medical Centre, Dr Kukar","13 Ollgar Close, London, Greater London, W12 0NF",02087407407,1,1,0,
Hammersmith & Fulham Centres For Health,"Hammersmith Hospital, DU Cane Road, Hammersmith, London, Greater London, W12 0HS",0203 313 4100,1,1,0,
Kings College Health Centre (KCL students and staff only),"3Rd Floor, Bush House, South East Wing, 300 Strand, London, WC2B 4PJ",02045489842,1,1,0,
Heathbridge Practice,"Heathbridge Med Practice, 125 Upper Richmond Road, Putney, London, Greater London, SW15 2TL",02082464070,1,0,0,5.0
Putneymead Group Medical Practice,"266 Upper Richmond Road, London, Greater London, SW15 6TQ",0208 788 0686,1,1,0,3.25
Triangle Surgery,"Triangle House, 2 Broomhill Road, Wandsworth, London, Greater London, SW18 4HX",02088741700,1,1,0,
Chatfield Health Care,"Chatfield Road, Battersea, London, Greater London, SW11 3UJ",02037640822,1,1,0,4.6
North Fulham Surgery,"82 Lillie Road, London, SW6 1TN",02074712650,1,1,0,
North End Medical Centre,"160 North End Road, West Kensington, London, Greater London, W14 9PR",02073857777,1,1,0,3.625
Hammersmith & Fulham Centres For Health (Branch),"Fulham Palace Road, London, Greater London, W6 8RF",02033134100,1,0,0,
